trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,6,-144.86198217478002,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-101.78260382981382,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-210.6687010208604,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-71.02047446001583,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-38.89766748296725,"{0: 25, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,12,-47.29553477458941,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-83.5150349596131,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-85.58672321124561,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-94.1267399225394,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-234.85743351195873,"{0: 16, 1: 4, 2: 3, 3: 4, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-51.905347369435184,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-83.12024326940566,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-89.14687425382064,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-36.75438994366001,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,-37.16387102051203,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,9,-33.37014750692631,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,5,-57.67801160375196,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,17,3.4877907515378803,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,16,-3.3787540750518748,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,-25.64007690458289,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,9,-2.027170391259398,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,-23.496210082512114,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,6,12.166897403092872,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,9,-56.70936611714367,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,6,0.4555816442292291,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,-25.774328895357254,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-26.067318563600907,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,15,-3.419193975351398,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,15.030899992318504,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,12,19.620685302258067,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
