trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-81.74601399429072,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-93.71317702329935,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,10,-73.29310345874367,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",35,0,-154.72745275365426,"{0: 21, 1: 2, 2: 9, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,9,-29.667481478864413,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-44.39391689252222,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-110.7405928371464,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-213.09630865737375,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-108.30576696795596,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-61.07429781078037,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-79.01331629841076,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-79.80164618430133,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-9.103021667478577,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-91.02399511758875,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-98.46719591024086,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-133.03126704396448,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-253.83059082566768,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-123.28400399258163,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-258.1356381083289,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 6}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-108.37775281267503,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-111.99083687765288,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-62.49524469417518,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",30,5,-79.60226945834265,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-184.5626176342417,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",35,0,-182.65672870602253,"{0: 19, 1: 5, 2: 8, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-51.23132779753652,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-144.42473204973746,"{0: 15, 1: 6, 2: 1, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-72.65089862652918,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-73.80977042681212,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,13,13.498486215448533,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-34.17662143204169,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,16,-28.10731406640893,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-47.245465796979545,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626098}",20,0,-140.16448121686057,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",35,0,-143.73761183197598,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-18.088295108668376,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",30,0,-85.0249220406879,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-60.65833614099931,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,6,-44.1201595258844,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,14,-50.14367079777794,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-134.56817353605368,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150569}",30,0,-144.40907488176256,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-99.76800836266294,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-57.85535444298448,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,5.51537364990935,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",35,11,-104.20708718292695,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",35,0,-102.34143746502544,"{0: 21, 1: 4, 2: 9, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,14,-6.465903880114081,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,7,-40.554247545308186,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-3.0039902505138065,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.600495578812266}",25,0,-128.5962610596206,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,12,-1.7470825150599794,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,0,-61.01397961737803,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-44.549391856723695,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-67.31830079882212,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-92.20950740490471,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,11,-92.06903577695054,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",35,0,-90.97694068112615,"{0: 27, 1: 1, 2: 3, 3: 3, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",35,0,-85.0696908261203,"{0: 27, 1: 0, 2: 5, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-98.7939431265219,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,10,-54.158859952871744,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",35,0,-6.874747897270518,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-49.23859781297533,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-25.461479542986293,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-27.768183355356555,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916993}",20,0,-1.6913916991595501,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,-26.011239741261775,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5066169923655897}",20,0,-27.814581499648355,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660556}",20,0,-19.27355487902531,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.4965853037914095}",25,0,-128.10822745146228,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.49164419746096516}",20,7,-5.196094933717758,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,7,-118.00163721508645,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 3}",1
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,-3.269802889373272,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47711391552103444}",20,0,-70.77985754562597,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.47236655274101474}",20,6,-23.812854813138088,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-57.03939316356167,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,7,-44.86800847202124,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.45840601130522357}",20,2,-18.187498381875578,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,0,-47.620121470074906,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,10,-27.045780671226016,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,0,-92.26615836397187,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",30,7,-13.32273805368983,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,0,-12.888630434393983,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-9.859666143293893,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,8,-70.87753173672772,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,4,-18.50010614843984,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,-101.91827711093785,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,8,-32.20120068166,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,0,-9.527117649372702,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,0,-43.09225105308651,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,0,-87.59881330145386,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.3985190410845142}",25,11,-13.190193787348832,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39455371037160114}",20,3,-33.099780299441456,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",35,22,21.23760538755884,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,11,2.5798316911959116,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,0,-54.76138514361077,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,12,2.728604615913535,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,13,11.893321072423646,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,0,-59.94843887389774,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,14,-31.853155715942663,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,14,0.36831321186429955,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,1,-40.33317042742757,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",30,13,-9.95101191021113,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
