trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-74.72553782015358,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-179.7639000940661,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-57.07206713502427,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-77.0126534282396,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-122.1262237269171,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-119.71923046824223,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-168.9873506218738,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-105.92214327511968,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-89.88753431800066,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-194.76318752795905,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-116.97550955232558,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-114.95269613855065,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-240.97138888093033,"{0: 15, 1: 2, 2: 9, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,3,-83.61177781108677,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-55.72576489274582,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-106.49876027652041,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-64.2429690376114,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,5,-102.72974803972866,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-197.90553607382842,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-169.48843011765226,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-38.12593050624115,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-36.580866163694765,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-84.30510261437104,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-68.80912830738116,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-73.1967359415242,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-83.19615380695443,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-159.09926845325919,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,1,-64.86449353866306,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,4,-62.987806822787974,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,-131.57494921552103,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
